,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-23 03:00:00,32931.17000000,33104.94000000,31390.16000000,31877.10000000,24308.54114400,1611417599999,780687487.40843096,661684,12272.93748500,394138065.24279006
1,2021-01-23 11:00:00,31877.10000000,32538.61000000,31759.65000000,32078.00000000,16610.70781000,1611446399999,534144420.64393641,456472,8131.82645200,261550332.41480348
2,2021-01-23 19:00:00,32078.00000000,33071.00000000,31630.00000000,32801.15000000,18901.74139200,1611475199999,612679212.60458536,446406,9593.94225700,311041490.16915091
0,2021-01-24 03:00:00,32797.21000000,33030.00000000,31858.68000000,31957.05000000,17540.18060600,1611503999999,569462192.83136528,509104,8323.55241700,270350084.26454528
1,2021-01-24 11:00:00,31956.90000000,32369.59000000,30900.00000000,32259.90000000,21536.11596800,1611532799999,682468259.92975104,572777,9908.62452300,314329547.58325821
2,2021-01-24 19:00:00,32259.45000000,33797.96000000,32175.61000000,33346.95000000,25671.26940700,1611561599999,848760589.80963972,570604,13302.23049300,439684628.72133268
0,2021-01-25 03:00:00,33347.19000000,34875.00000000,32750.09000000,34458.31000000,32498.05275800,1611590399999,1101388316.23173658,804074,17470.91541700,592050581.63249044
1,2021-01-25 11:00:00,34458.31000000,34600.00000000,31910.00000000,32254.20000000,30329.90475600,1611619199999,1008610382.52219209,731870,13716.37822200,456696824.13859829
2,2021-01-25 19:00:00,32254.19000000,32827.33000000,31100.00000000,31643.61000000,29375.79924000,1611647999999,937326871.02144952,638647,14282.28092300,455774878.53382884
0,2021-01-26 03:00:00,31643.61000000,32450.00000000,30837.37000000,31750.23000000,30837.46378200,1611676799999,975860671.78474163,747645,14713.08884700,466188840.09544267
1,2021-01-26 11:00:00,31750.24000000,32921.88000000,31300.69000000,32467.77000000,24758.94388800,1611705599999,795357821.68845005,624100,13406.94314700,430714380.23704946
2,2021-01-26 19:00:00,32464.01000000,32557.29000000,31350.00000000,31743.33000000,18469.03891800,1611734399999,589123911.76025938,455579,9119.88113400,290850543.02828653
0,2021-01-27 03:00:00,31743.33000000,31749.28000000,29241.72000000,30322.61000000,42483.19757700,1611763199999,1298540634.02313369,840519,20019.47476200,612131304.09816424
1,2021-01-27 11:00:00,30322.59000000,31649.99000000,29500.00000000,30366.15000000,34959.72521600,1611791999999,1070416875.85816607,769855,17525.02574200,537097937.99406105
2,2021-01-27 19:00:00,30362.19000000,31876.63000000,29842.10000000,31170.53000000,26640.21355200,1611820799999,828475293.13601067,563435,13494.50392200,420161200.47099959
0,2021-01-28 03:00:00,31170.20000000,32203.38000000,30812.26000000,31926.49000000,30270.96493700,1611849599999,955441113.32827291,724796,15276.04708000,482340202.71275320
1,2021-01-28 11:00:00,31926.49000000,33783.98000000,31650.00000000,33364.86000000,35709.96712800,1611878399999,1169636807.60139829,772429,17297.23132400,566454753.30131851
2,2021-01-28 19:00:00,33368.18000000,34310.00000000,31915.40000000,32266.35000000,55110.86613000,1611907199999,1837129678.26789453,1108054,26969.35659200,898724336.85080679
0,2021-01-29 03:00:00,32266.36000000,38531.90000000,32006.91000000,37129.40000000,114300.14955700,1611935999999,4163136173.42637394,2102998,60118.43032600,2186725882.81823866
