,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0,2021-01-23 03:00:00,1259.61000000,1272.44000000,1195.90000000,1230.26000000,393147.34823000,1611417599999,485544037.47441150,345262,195858.66756000,241960884.01740020
1,2021-01-23 11:00:00,1230.26000000,1264.00000000,1223.75000000,1233.60000000,298598.94918000,1611446399999,372264399.44872820,251260,152332.13115000,189973578.77197500
2,2021-01-23 19:00:00,1233.46000000,1334.88000000,1220.00000000,1314.74000000,508541.85010000,1611475199999,655848193.17816340,380048,271508.11574000,350406365.72216940
0,2021-01-24 03:00:00,1314.74000000,1350.04000000,1298.22000000,1320.50000000,466922.77799000,1611503999999,619505778.54884150,429279,238768.55682000,316895459.44920850
1,2021-01-24 11:00:00,1320.50000000,1398.83000000,1304.00000000,1392.51000000,535414.91008000,1611532799999,721411655.81351430,504659,280097.83668000,377750563.46703770
2,2021-01-24 19:00:00,1392.19000000,1475.00000000,1383.12000000,1424.61000000,712119.78518000,1611561599999,1018503264.19319710,616589,364072.34980000,520770085.26478340
0,2021-01-25 03:00:00,1424.65000000,1444.36000000,1379.08000000,1434.87000000,535877.76500000,1611590399999,757600574.19603640,445582,281410.73710000,397970939.09297080
1,2021-01-25 11:00:00,1434.95000000,1442.72000000,1293.69000000,1317.88000000,637443.76271000,1611619199999,868163398.50795420,599341,297864.17139000,406074889.62815430
2,2021-01-25 19:00:00,1317.60000000,1378.49000000,1297.00000000,1317.41000000,506386.20014000,1611647999999,675376918.85829740,461683,252290.24293000,336564990.83418580
0,2021-01-26 03:00:00,1317.34000000,1344.82000000,1244.56000000,1279.95000000,626519.96998000,1611676799999,810286367.93265580,506360,314056.70921000,406452060.21466740
1,2021-01-26 11:00:00,1279.94000000,1374.22000000,1267.02000000,1365.97000000,550017.48787000,1611705599999,731088381.60175940,455135,290312.34921000,385951316.80503740
2,2021-01-26 19:00:00,1366.54000000,1373.90000000,1273.13000000,1293.36000000,429226.11748000,1611734399999,563125795.56771690,429821,201951.80921000,265097257.93394710
0,2021-01-27 03:00:00,1293.37000000,1302.38000000,1207.00000000,1281.08000000,895355.39999000,1611763199999,1124505265.83976350,697888,454534.31818000,571464235.88408670
1,2021-01-27 11:00:00,1281.40000000,1307.76000000,1222.17000000,1239.03000000,685190.56611000,1611791999999,867018839.66736420,609587,341262.11828000,432216223.67906990
2,2021-01-27 19:00:00,1238.93000000,1325.00000000,1217.23000000,1284.88000000,417847.79144000,1611820799999,533528933.32777610,411041,213956.53773000,273633511.50649730
0,2021-01-28 03:00:00,1284.93000000,1358.61000000,1260.00000000,1350.43000000,554796.72775000,1611849599999,730258374.91310520,515128,284828.19658000,375122370.11563600
1,2021-01-28 11:00:00,1350.43000000,1360.00000000,1320.00000000,1329.69000000,392625.20043000,1611878399999,526703569.95291290,348855,203741.50488000,273435879.74621780
2,2021-01-28 19:00:00,1329.44000000,1374.13000000,1285.35000000,1315.90000000,524785.54753000,1611907199999,695476401.30416230,460922,254813.40938000,337949941.36790140
0,2021-01-29 03:00:00,1315.86000000,1436.90000000,1295.01000000,1396.18000000,1122702.21814000,1611935999999,1553766347.79205810,756827,576242.68100000,797958647.81562710
1,2021-01-29 11:00:00,1396.48000000,1409.99000000,1313.12000000,1379.50000000,606475.42115000,1611964799999,828754052.13554520,496327,295516.29365000,404039207.02396500
2,2021-01-29 19:00:00,1379.56000000,1406.00000000,1326.41000000,1346.87000000,421452.29289000,1611993599999,572054268.87091920,390513,204574.61975000,277700910.58416220
0,2021-01-30 03:00:00,1347.07000000,1380.30000000,1330.25000000,1371.27000000,317622.49256000,1612022399999,429339426.21444000,289268,159039.54929000,214986994.85579070
1,2021-01-30 11:00:00,1371.26000000,1390.00000000,1345.00000000,1378.05000000,300967.45085000,1612051199999,412837707.45852420,333393,144571.29362000,198355095.55947360
2,2021-01-30 19:00:00,1378.04000000,1380.74000000,1342.00000000,1346.28000000,223495.75003000,1612079999999,303827826.11025640,202092,107267.86422000,145852691.63770030
0,2021-01-31 03:00:00,1346.28000000,1371.85000000,1291.68000000,1311.10000000,403348.95908000,1612108799999,539851112.17860650,322987,181159.45659000,242462657.41089600
1,2021-01-31 11:00:00,1311.01000000,1321.93000000,1281.12000000,1312.55000000,331860.14660000,1612137599999,433163321.68248590,303097,160329.24053000,209287576.73196680
2,2021-01-31 19:00:00,1312.45000000,1337.83000000,1269.99000000,1316.67000000,434993.52609000,1612166399999,568750810.74257200,358234,217050.63526000,284045458.79752490
0,2021-02-01 03:00:00,1316.65000000,1345.52000000,1301.51000000,1301.73000000,372545.76134000,1612195199999,494255110.26842880,317724,186876.51205000,247986760.98588220
1,2021-02-01 11:00:00,1301.96000000,1377.99000000,1300.00000000,1374.17000000,288858.63119000,1612223999999,386457845.71279430,239626,146080.22527000,195776120.89211250
2,2021-02-01 19:00:00,1374.09000000,1425.99000000,1360.28000000,1415.00000000,473393.65876000,1612252799999,659329654.90157990,405042,246856.17650000,343907180.37031580
0,2021-02-02 03:00:00,1415.00000000,1458.00000000,1405.62000000,1427.87000000,640759.95362000,1612281599999,917813683.91916080,508216,314723.02252000,450959072.33206000
1,2021-02-02 11:00:00,1427.88000000,1547.90000000,1421.56000000,1511.87000000,830074.38640000,1612310399999,1244473993.57904440,701283,424442.89274000,636434545.72786530
2,2021-02-02 19:00:00,1511.93000000,1571.00000000,1508.39000000,1547.09000000,428616.16250000,1612339199999,660427317.48640920,372685,225241.50975000,347089357.51320690
0,2021-02-03 03:00:00,1547.15000000,1599.86000000,1512.38000000,1597.25000000,544840.63135000,1612367999999,843896754.70434470,474008,289545.08941000,448881499.03536970
1,2021-02-03 11:00:00,1597.56000000,1669.35000000,1580.10000000,1664.49000000,562413.09416000,1612396799999,914562969.39680760,538286,278548.37282000,453058594.59338410
2,2021-02-03 19:00:00,1664.67000000,1695.20000000,1632.51000000,1662.83000000,449046.95017000,1612425599999,749304716.68973510,407910,225110.62960000,375823594.70770380
0,2021-02-04 03:00:00,1662.52000000,1684.66000000,1554.44000000,1580.88000000,709849.81481000,1612454399999,1149450360.24171410,609988,348185.64656000,563893493.92174290
